timestamp	x	y	r
1743622683.9178288	0	0	0
1743622683.949076	0	0	0
1743622683.9818234	0	0	0
1743622684.0171876	0	0	0
1743622684.0492747	0	0	0
1743622684.0812209	0	0	0
1743622684.1173675	0	0	0
1743622684.1487572	0	0	0
1743622684.1812577	0	0	0
1743622684.2170217	0	0	0
1743622684.249655	0	0	0
1743622684.2813063	0	0	0
1743622684.3178139	0	0	0
1743622684.3489366	0	0	0
1743622684.3812516	0	0	0
1743622684.4170337	0	0	0
1743622684.4792821	0	0	0
1743622684.5124557	0	0	0
1743622684.5386457	0	0	0
1743622684.5490415	0	0	0
1743622684.58163	0	0	0
1743622684.6171637	0	0	0
1743622684.6495879	0	0	0
1743622684.6808634	0	0	0
1743622684.717569	0	0	0
1743622684.749415	0	0	0
1743622684.7815375	0	0	0
1743622684.817315	0	0	0
1743622684.8495102	0	0	0
1743622684.8812487	0	0	0
1743622684.9172869	0	0	0
1743622684.9493537	0	0	0
1743622684.9812725	0	0	0
1743622685.016932	0	0	0
1743622685.04972	0	0	0
1743622685.080494	0	0	0
1743622685.1176517	0	0	0
1743622685.1490219	0	0	0
1743622685.181968	0	0	0
1743622685.2175078	0	0	0
1743622685.2497623	0	0	0
1743622685.2813125	0	0	0
1743622685.317837	0	0	0
1743622685.3496535	0	0	0
1743622685.3823113	0	0	0
1743622685.4174635	0	0	0
1743622685.4497418	0	0	0
1743622685.4818578	0	0	0
1743622685.51805	0	0	0
1743622685.5485432	0	0	0
1743622685.5835886	0	0	0
1743622685.6180928	0	0	0
1743622685.6498997	0	0	0
1743622685.681479	0	0	0
1743622685.7182186	0	0	0
1743622685.749622	0	0	0
1743622685.7865877	0	0	0
1743622685.8172462	0	0	0
1743622685.8497806	0	0	0
1743622685.8854527	0	0	0
1743622685.917221	0	0	0
1743622685.949405	0	0	0
1743622685.9865189	0	0	0
1743622686.017461	0	0	0
1743622686.0499876	0	0	0
1743622686.1211188	0	0	0
1743622686.1672044	0	0	0
1743622686.2060928	0	0	0
1743622686.2474527	0	0	0
1743622686.2969728	0	0	0
1743622686.3464282	0	0	0
1743622686.3868399	0	0	0
1743622686.4272382	0	0	0
1743622686.4717653	0	0	0
1743622686.5063508	0	0	0
1743622686.5516207	0	0	0
1743622686.589398	0	0	0
1743622686.640448	0	0	0
1743622686.6794567	0	0	0
1743622686.7200747	0	0	0
1743622686.769342	0	0	0
1743622686.8153121	0	0	0
1743622686.8694847	0	0	0
1743622686.9049263	0	0	0
1743622686.9441714	0	0	0
1743622686.9863837	0	0	0
1743622687.0294	0	0	0
1743622687.0426903	0	0	0
1743622687.0487983	0	0	0
1743622687.0543132	0	0	0
1743622687.0599468	0	0	0
1743622687.0848768	0	0	0
1743622687.1182888	0	0	0
1743622687.1766775	0	0	0
1743622687.214964	0	0	0
1743622687.2519805	0	0	0
1743622687.266789	0	0	0
1743622687.2849712	0	0	0
1743622687.3170218	0	0	0
1743622687.3488512	0	0	0
1743622687.3850973	0	0	0
1743622687.417218	0	0	0
1743622687.4492633	0	0	0
1743622687.4850068	0	0	0
1743622687.5174234	0	0	0
1743622687.549518	0	0	0
1743622687.5856273	0	0	0
1743622687.6172593	0	0	0
1743622687.655118	0	0	0
1743622687.684934	0	0	0
1743622687.717589	0	0	0
1743622687.75334	0	0	0
1743622687.7854593	0	0	0
1743622687.8170497	0	0	0
1743622687.8533182	0	0	0
1743622687.8852882	0	0	0
1743622687.9174771	0	0	0
1743622687.9531853	0	0	0
1743622687.985349	0	0	0
1743622688.017537	0	0	0
1743622688.0530622	0	0	0
1743622688.0854487	0	0	0
1743622688.1176326	0	0	0
1743622688.179344	0	0	0
1743622688.2147174	0	0	0
1743622688.2468593	0	0	0
1743622688.2523828	0	0	0
1743622688.2854092	0	0	0
1743622688.31795	0	0	0
1743622688.3521457	0	0	0
1743622688.3853877	0	0	0
1743622688.4168167	0	0	0
1743622688.4529028	0	0	0
